season,beta,kappa,seed,start_month,moore,suit_thresh,latency_period,a_s,a_l,a_ld,cluster
2,2,1000,0,5,3,0,3,150,100,50,216
2,2,500,0,5,3,0,2,400,100,0,89
2,1,500,0,5,3,0,3,150,100,200,242
2,0,500,0,3,1,0,3,400,0,150,381
1,1,1000,1,3,2,0,2,300,50,0,28
2,1,500,0,5,2,0,3,150,0,75,189
1,2,500,0,4,1,0,3,100,0,100,407
2,1,1000,0,5,2,0,3,25,0,125,287
1,2,1000,1,5,3,0,2,150,0,0,152
2,2,1000,1,5,1,0,2,20,0,10,396
1,0,1000,0,3,3,0,2,400,50,0,74
2,1,500,0,5,2,0,3,100,50,125,174
2,1,500,1,5,1,0,3,75,0,125,274
1,1,1000,0,5,1,0,1,400,200,0,438
2,2,1000,0,5,3,0,3,25,25,50,238
2,2,1000,0,4,3,0,3,300,0,200,348
2,1,1000,0,5,3,0,3,150,50,75,243
2,0,1000,0,5,2,0,3,25,0,75,264
2,2,500,0,5,3,0,3,300,100,150,212
2,2,1000,0,4,2,0,3,150,0,75,324
2,1,500,0,5,2,0,3,125,100,100,174
2,0,500,1,4,2,0,1,200,0,0,425
2,1,500,0,4,2,0,3,125,25,25,291
2,0,500,0,3,1,0,3,300,0,50,383
2,2,500,1,4,1,0,3,150,0,50,403
1,1,1000,0,5,1,0,1,100,100,0,443
2,1,1000,0,5,2,0,3,600,600,200,171
2,0,1000,0,5,1,0,3,100,25,150,262
2,1,1000,0,5,2,0,3,300,50,150,177
2,1,500,0,4,3,0,2,400,50,0,73
2,1,500,0,4,3,0,3,100,25,150,360
2,2,1000,1,4,2,0,2,400,100,0,30
2,1,1000,0,5,2,0,3,75,25,125,192
1,1,1000,0,5,3,0,2,150,0,0,135
1,1,1000,0,4,1,0,3,75,0,150,410
2,1,500,0,4,3,0,3,400,0,150,364
2,2,500,0,4,2,0,3,75,0,100,325
2,0,1000,0,5,1,0,3,125,0,75,268
2,2,1000,0,5,2,0,3,600,400,200,164
2,2,1000,0,4,3,0,2,50,50,0,114
2,1,500,1,4,2,0,2,400,400,0,47
2,1,500,0,4,3,0,3,125,75,100,360
1,2,500,0,4,1,0,3,125,0,150,411
2,2,500,0,4,3,0,3,150,75,100,333
1,2,1000,0,5,1,0,2,100,0,25,393
2,0,1000,0,3,1,0,3,75,0,25,383
1,0,500,1,5,3,0,2,400,0,0,138
2,2,1000,0,5,3,0,2,400,50,0,84
2,0,1000,1,4,2,0,2,400,400,0,47
2,2,1000,0,4,2,0,3,100,75,75,300
2,1,500,0,4,2,0,3,100,25,75,307
1,1,1000,1,3,3,0,2,50,0,0,159
2,1,1000,0,4,3,0,2,600,600,0,97
2,2,500,0,4,3,0,3,400,200,200,334
1,2,500,1,3,2,0,2,200,200,0,34
1,1,500,1,5,2,0,1,200,0,0,419
2,2,1000,0,5,3,0,3,125,0,50,217
2,2,1000,0,5,3,0,3,75,25,150,233
2,2,1000,0,4,2,0,3,600,200,400,294
1,2,1000,0,5,1,0,1,600,600,0,433
